                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.2593,                0.98874,                 1.1656,                0.76331,                0.75166,                0.78819,                0.46124,                 1.4127,                 0.9213,                 1.1703,             0.00049506,             0.00049506,             0.00049506
                     86,                 1.2369,                0.94298,                 1.1383,                0.81948,                 0.7359,                0.81159,                 0.4577,                 1.3702,                 0.8777,                 1.1442,             0.00049352,             0.00049352,             0.00049352
                     87,                 1.2375,                0.94366,                 1.1405,                 0.8197,                0.76849,                0.83119,                0.46059,                 1.4372,                 0.9434,                 1.1453,             0.00049197,             0.00049197,             0.00049197
                     88,                 1.2264,                0.93221,                 1.1405,                 0.7827,                0.75946,                0.80385,                0.45186,                 1.4065,                0.90746,                 1.1588,             0.00049042,             0.00049042,             0.00049042
                     89,                 1.1943,                0.93411,                 1.1322,                0.75045,                0.73639,                0.74623,                0.44234,                 1.3922,                0.94036,                 1.1878,             0.00048888,             0.00048888,             0.00048888
                     90,                 1.2136,                0.93584,                 1.1246,                0.82288,                0.72909,                0.81784,                0.47589,                 1.3753,                0.86393,                 1.1459,             0.00048733,             0.00048733,             0.00048733
                     91,                 1.2466,                0.95136,                 1.1292,                0.78804,                0.77818,                0.82778,                0.47961,                 1.3389,                0.87695,                 1.1195,             0.00048578,             0.00048578,             0.00048578
                     92,                 1.1936,                0.91362,                 1.1227,                0.87417,                  0.694,                0.81582,                0.46597,                 1.3553,                0.84903,                 1.1326,             0.00048423,             0.00048423,             0.00048423
                     93,                 1.2264,                0.92525,                 1.1293,                0.73102,                0.79626,                 0.7878,                0.46096,                 1.3459,                0.85167,                 1.1549,             0.00048269,             0.00048269,             0.00048269
                     94,                 1.1993,                 0.9278,                 1.1157,                0.65967,                0.65835,                0.67086,                0.36746,                 1.4633,                 1.0917,                 1.1978,             0.00048114,             0.00048114,             0.00048114
                     95,                 1.2093,                0.93389,                 1.1289,                0.74676,                0.74348,                 0.7887,                0.46817,                 1.3158,                 0.8521,                 1.1282,             0.00047959,             0.00047959,             0.00047959
                     96,                  1.196,                0.91227,                 1.1204,                0.78196,                0.75294,                0.81507,                0.45184,                 1.4019,                0.88562,                  1.142,             0.00047805,             0.00047805,             0.00047805
                     97,                 1.2146,                 0.9143,                 1.1187,                0.76491,                0.76965,                0.80526,                0.46388,                 1.3333,                0.85817,                 1.1286,              0.0004765,              0.0004765,              0.0004765
                     98,                 1.1932,                0.89493,                 1.1192,                0.76581,                0.75355,                 0.7893,                0.46816,                 1.3419,                 0.8592,                 1.1255,             0.00047495,             0.00047495,             0.00047495
                     99,                 1.1752,                 0.8833,                 1.1129,                0.84782,                0.70445,                0.78415,                0.46126,                 1.3627,                0.89399,                 1.1305,             0.00047341,             0.00047341,             0.00047341
                    100,                 1.2122,                0.90633,                 1.1174,                 0.7765,                0.78304,                0.78934,                0.47125,                 1.3296,                0.92965,                 1.1316,             0.00047186,             0.00047186,             0.00047186
                    101,                 1.1878,                0.89221,                 1.1019,                0.81675,                0.75684,                0.80448,                 0.4727,                 1.3644,                 0.8687,                 1.1346,             0.00047031,             0.00047031,             0.00047031
                    102,                 1.1919,                0.90217,                 1.1096,                0.81472,                0.75854,                0.80264,                0.47841,                 1.3191,                0.82721,                 1.1172,             0.00046877,             0.00046877,             0.00046877
                    103,                 1.1589,                0.86078,                 1.0975,                0.63369,                0.59904,                0.63289,                0.36231,                 1.5033,                 1.1907,                 1.2223,             0.00046722,             0.00046722,             0.00046722
                    104,                 1.1566,                0.83889,                  1.101,                0.80424,                0.67745,                 0.7649,                0.46133,                 1.3877,                 0.9328,                 1.1566,             0.00046567,             0.00046567,             0.00046567
                    105,                   1.13,                0.85005,                 1.0877,                0.84274,                0.75583,                0.81789,                0.48281,                 1.3632,                0.89475,                   1.12,             0.00046413,             0.00046413,             0.00046413
                    106,                 1.1564,                0.85624,                 1.1047,                0.77184,                 0.7812,                0.80722,                0.47772,                 1.3304,                0.83649,                 1.1285,             0.00046258,             0.00046258,             0.00046258
                    107,                 1.1617,                0.85142,                 1.0922,                0.85834,                0.75636,                0.82493,                0.48882,                 1.3529,                0.87119,                 1.1162,             0.00046103,             0.00046103,             0.00046103
                    108,                 1.1385,                0.85286,                 1.0825,                0.82845,                0.75636,                0.80842,                0.48331,                 1.3438,                0.86973,                 1.1254,             0.00045948,             0.00045948,             0.00045948
                    109,                  1.128,                0.82627,                 1.0703,                0.79792,                0.63443,                0.73898,                0.42748,                 1.4072,                0.96741,                  1.169,             0.00045794,             0.00045794,             0.00045794
                    110,                 1.1197,                0.82358,                 1.0818,                0.82245,                0.76949,                0.83264,                0.51085,                 1.3051,                0.84232,                 1.1244,             0.00045639,             0.00045639,             0.00045639
                    111,                 1.1503,                0.84718,                  1.093,                 0.8032,                0.79098,                0.82013,                0.48075,                 1.3649,                0.81808,                  1.129,             0.00045484,             0.00045484,             0.00045484
                    112,                 1.1637,                0.86221,                 1.0926,                0.81004,                0.76688,                0.81513,                0.48981,                 1.2821,                0.82134,                 1.0878,              0.0004533,              0.0004533,              0.0004533
                    113,                 1.1502,                 0.8462,                 1.0909,                0.79349,                0.77108,                0.83048,                 0.5049,                 1.2917,                0.79816,                 1.1031,             0.00045175,             0.00045175,             0.00045175
                    114,                 1.1538,                0.84871,                  1.088,                0.81923,                0.78631,                0.82465,                0.48603,                 1.3615,                0.86272,                 1.1516,              0.0004502,              0.0004502,              0.0004502
                    115,                 1.1654,                0.86748,                 1.0887,                 0.7449,                0.62106,                0.69305,                0.40131,                 1.4805,                 1.1481,                 1.2075,             0.00044866,             0.00044866,             0.00044866
                    116,                 1.1263,                0.83109,                 1.0813,                 0.8855,                0.72174,                0.84248,                 0.4913,                 1.3176,                0.81581,                 1.1034,             0.00044711,             0.00044711,             0.00044711
                    117,                 1.1109,                0.81413,                 1.0666,                 0.8229,                0.75978,                0.83077,                0.49556,                 1.3042,                0.83949,                  1.111,             0.00044556,             0.00044556,             0.00044556
